Load ID,Pickup Date,Truck ID,Driver Name,Lane,Miles,Revenue USD,Est Cost USD,Profit USD,Profit Margin %
L000001,2025-02-28,T0161,Kai Johnson,"Kansas City, MO → Tampa, FL",2352,4774.56,4010.0,764.56,16.01
L000002,2025-05-15,T0217,Morgan Jackson,"Savannah, GA → New York, NY",1470,3601.5,2533.55,1067.95,29.65
L000003,2025-04-16,T0296,Reese Moore,"Nashville, TN → Pittsburgh, PA",1865,3375.65,3344.11,31.54,0.93
L000004,2025-04-03,T0240,Micah Martinez,"Memphis, TN → Norfolk, VA",1758,3586.32,2981.86,604.46,16.85
L000005,2025-02-16,T0391,Jordan Thomas,"Miami, FL → Orlando, FL",1266,2506.68,2251.34,255.34,10.19
L000006,2025-05-18,T0130,Emerson Rodriguez,"Phoenix, AZ → Jacksonville, FL",1334,3241.62,2615.07,626.55,19.33
L000007,2025-06-24,T0329,Kai Brown,"Atlanta, GA → Jacksonville, FL",831,1811.58,1558.4,253.18,13.98
L000008,2025-04-19,T0349,Riley Hernandez,"Boston, MA → Minneapolis, MN",1741,2994.52,3149.97,-155.45,-5.19
L000009,2025-02-23,T0078,Avery Anderson,"Phoenix, AZ → Tampa, FL",644,1848.28,1102.69,745.59,40.34
L000010,2025-09-11,T0020,Emerson Taylor,"Denver, CO → Salt Lake City, UT",472,1373.52,836.79,536.73,39.08
L000011,2025-04-16,T0232,Drew Miller,"Miami, FL → Milwaukee, WI",1728,4164.48,3317.31,847.17,20.34
L000012,2025-03-12,T0210,Jesse Williams,"San Antonio, TX → New York, NY",393,1072.89,751.45,321.44,29.96
L000013,2025-07-28,T0049,Jordan Gonzalez,"Kansas City, MO → Milwaukee, WI",1775,3248.25,2966.76,281.49,8.67
L000014,2025-08-11,T0044,Emerson Brown,"Memphis, TN → Louisville, KY",1012,2378.2,1880.92,497.28,20.91
L000015,2025-01-10,T0344,Hayden Martin,"Kansas City, MO → Boise, ID",2157,4421.85,4524.64,-102.79,-2.32
L000016,2025-03-24,T0011,Drew Garcia,"Dallas, TX → Philadelphia, PA",2498,4496.4,4698.68,-202.28,-4.5
L000017,2025-04-28,T0012,Jordan Anderson,"Portland, OR → Buffalo, NY",1687,3475.22,2950.55,524.67,15.1
L000018,2025-08-05,T0240,Quinn Thomas,"Memphis, TN → Boise, ID",1908,3377.16,3556.79,-179.63,-5.32
L000019,2025-04-02,T0021,Rowan Gonzalez,"Charlotte, NC → San Jose, CA",1482,3660.54,2524.77,1135.77,31.03
L000020,2025-02-20,T0260,Jesse Martin,"Los Angeles, CA → San Diego, CA",2178,4639.14,4223.68,415.46,8.96
L000021,2025-06-28,T0242,Avery Taylor,"Portland, OR → Richmond, VA",916,1987.72,1591.56,396.16,19.93
L000022,2025-01-20,T0048,Alex Johnson,"Columbus, OH → Milwaukee, WI",2448,4602.24,3750.86,851.38,18.5
L000023,2025-07-15,T0359,Jordan Gonzalez,"Indianapolis, IN → Milwaukee, WI",158,557.74,321.51,236.23,42.36
L000024,2025-08-21,T0124,Morgan Gonzalez,"Phoenix, AZ → Buffalo, NY",1925,4754.75,3576.68,1178.07,24.78
L000025,2025-08-14,T0291,Jesse Williams,"Portland, OR → Salt Lake City, UT",2208,4393.92,4296.68,97.24,2.21
L000026,2025-03-22,T0285,Harper Gonzalez,"Newark, NJ → Buffalo, NY",1551,2760.78,2595.53,165.25,5.99
L000027,2025-01-18,T0281,Taylor Rodriguez,"Chicago, IL → San Jose, CA",1652,3287.48,3079.21,208.27,6.34
L000028,2025-01-22,T0132,Kai Hernandez,"Nashville, TN → Baltimore, MD",343,1053.01,613.09,439.92,41.78
L000029,2025-03-18,T0277,Alex Jones,"Nashville, TN → Cincinnati, OH",275,1058.75,461.36,597.39,56.42
L000030,2025-07-05,T0315,Finley Moore,"Houston, TX → Birmingham, AL",664,1859.2,1288.27,570.93,30.71
L000031,2025-03-06,T0268,Jordan Taylor,"Los Angeles, CA → Milwaukee, WI",2474,5022.22,4528.63,493.59,9.83
L000032,2025-04-30,T0394,Harper Williams,"Indianapolis, IN → Boise, ID",1131,2759.64,1808.45,951.19,34.47
L000033,2025-08-06,T0322,Emerson Jackson,"Atlanta, GA → Buffalo, NY",1708,3245.2,3192.06,53.14,1.64
L000034,2025-09-01,T0107,Kai Brown,"Denver, CO → Jacksonville, FL",2369,5353.94,4113.4,1240.54,23.17
L000035,2025-02-20,T0094,Taylor Rodriguez,"Houston, TX → New York, NY",2199,4376.01,3612.04,763.97,17.46
L000036,2025-05-22,T0224,Jesse Lopez,"Indianapolis, IN → New York, NY",1546,2643.66,2819.21,-175.55,-6.64
L000037,2025-09-09,T0121,Quinn Thomas,"Indianapolis, IN → Orlando, FL",412,1013.52,782.63,230.89,22.78
L000038,2025-09-18,T0199,Emerson Williams,"San Antonio, TX → Raleigh, NC",627,1511.07,1218.89,292.18,19.34
L000039,2025-05-25,T0347,Reese Moore,"Columbus, OH → Birmingham, AL",1978,3758.2,3132.6,625.6,16.65
L000040,2025-04-25,T0023,Alex Johnson,"Kansas City, MO → Philadelphia, PA",2319,4568.43,4050.98,517.45,11.33
L000041,2025-08-22,T0116,Reese Gonzalez,"Indianapolis, IN → Minneapolis, MN",946,1712.26,1935.57,-223.31,-13.04
L000042,2025-01-14,T0124,Finley Gonzalez,"Savannah, GA → San Jose, CA",873,1588.86,1540.16,48.7,3.06
L000043,2025-01-29,T0150,Cameron Rodriguez,"Los Angeles, CA → Raleigh, NC",1158,2014.92,2176.16,-161.24,-8.0
L000044,2025-02-06,T0356,Micah Martinez,"Houston, TX → Philadelphia, PA",510,1275.0,995.58,279.42,21.92
L000045,2025-01-15,T0081,Morgan Jones,"Portland, OR → Philadelphia, PA",2338,5026.7,4252.52,774.18,15.4
L000046,2025-09-02,T0391,Cameron Moore,"Newark, NJ → San Diego, CA",242,767.14,418.93,348.21,45.39
L000047,2025-06-22,T0271,Quinn Anderson,"Miami, FL → Raleigh, NC",1503,3276.54,2546.35,730.19,22.29
L000048,2025-05-20,T0389,Cameron Gonzalez,"Seattle, WA → Baltimore, MD",1932,3728.76,3821.72,-92.96,-2.49
L000049,2025-05-02,T0234,Hayden Hernandez,"Atlanta, GA → Minneapolis, MN",1771,4020.17,2914.44,1105.73,27.5
L000050,2025-02-09,T0086,Hayden Martin,"Indianapolis, IN → Jacksonville, FL",932,1854.68,1590.08,264.6,14.27
L000051,2025-02-24,T0206,Harper Smith,"Portland, OR → Norfolk, VA",1563,3360.45,2755.2,605.25,18.01
L000052,2025-01-31,T0282,Kai Martin,"Los Angeles, CA → Norfolk, VA",163,536.27,301.65,234.62,43.75
L000053,2025-03-05,T0336,Reese Garcia,"Columbus, OH → Birmingham, AL",1588,2779.0,2808.8,-29.8,-1.07
L000054,2025-06-18,T0018,Jesse Gonzalez,"Memphis, TN → Milwaukee, WI",2384,5173.28,4012.31,1160.97,22.44
L000055,2025-04-26,T0284,Harper Hernandez,"Dallas, TX → Tampa, FL",811,1970.73,1680.64,290.09,14.72
L000056,2025-02-24,T0266,Finley Thomas,"Savannah, GA → Louisville, KY",1225,2119.25,2119.76,-0.51,-0.02
L000057,2025-06-09,T0211,Jordan Moore,"Miami, FL → Boise, ID",2090,4138.2,3924.08,214.12,5.17
L000058,2025-04-23,T0215,Jesse Rodriguez,"Kansas City, MO → Tampa, FL",965,1698.4,1753.23,-54.83,-3.23
L000059,2025-05-24,T0081,Quinn Thomas,"Portland, OR → Richmond, VA",1688,3595.44,3001.31,594.13,16.52
L000060,2025-01-04,T0100,Hayden Hernandez,"Memphis, TN → Norfolk, VA",657,2036.7,1163.29,873.41,42.88
L000061,2025-08-13,T0302,Finley Lopez,"Portland, OR → Minneapolis, MN",1103,2404.54,2149.52,255.02,10.61
L000062,2025-09-17,T0142,Alex Brown,"Columbus, OH → Baltimore, MD",1559,3086.82,2809.88,276.94,8.97
L000063,2025-02-08,T0046,Rowan Martinez,"Chicago, IL → Baltimore, MD",565,1423.8,906.65,517.15,36.32
L000064,2025-07-02,T0370,Riley Moore,"Houston, TX → San Jose, CA",1847,3435.42,3306.99,128.43,3.74
L000065,2025-06-09,T0104,Alex Thomas,"Los Angeles, CA → Salt Lake City, UT",1358,2485.14,2632.78,-147.64,-5.94
L000066,2025-03-14,T0032,Quinn Williams,"Seattle, WA → Salt Lake City, UT",2018,4944.1,3971.39,972.71,19.67
