record_id,txn_date,fiscal_year,account,department,region,customer_name,customer_email,revenue,cogs,gross_profit,operating_expense,net_income,tax_amount,cash_balance
1,2022-02-02,2022,1001,11,South,Customer 00001,customer00001@example.com,5037,2023,3014,519,2495,523,100097
2,2023-03-03,2023,1002,12,East,Customer 00002,customer00002@example.com,5074,2046,3028,538,2490,522,100194
3,2024-04-04,2024,1003,13,West,Customer 00003,customer00003@example.com,5111,2069,3042,557,2485,521,100291
4,2025-05-05,2025,1004,14,North,Customer 00004,customer00004@example.com,5148,2092,3056,576,2480,520,100388
5,2021-06-06,2021,1005,15,South,Customer 00005,customer00005@example.com,5185,2115,3070,595,2475,519,100485
6,2022-07-07,2022,1006,16,East,Customer 00006,customer00006@example.com,5222,2138,3084,614,2470,518,100582
7,2023-08-08,2023,1007,17,West,Customer 00007,customer00007@example.com,5259,2161,3098,633,2465,517,100679
8,2024-09-09,2024,1008,18,North,Customer 00008,customer00008@example.com,5296,2184,3112,652,2460,516,100776
9,2025-10-10,2025,1009,19,South,Customer 00009,customer00009@example.com,5333,2207,3126,671,2455,515,100873
10,2021-11-11,2021,1010,20,East,Customer 00010,customer00010@example.com,5370,2230,3140,690,2450,514,100970
11,2022-12-12,2022,1011,21,West,Customer 00011,customer00011@example.com,5407,2253,3154,709,2445,513,101067
12,2023-01-13,2023,1012,22,North,Customer 00012,customer00012@example.com,5444,2276,3168,728,2440,512,101164
13,2024-02-14,2024,1013,23,South,Customer 00013,customer00013@example.com,5481,2299,3182,747,2435,511,101261
14,2025-03-15,2025,1014,24,East,Customer 00014,customer00014@example.com,5518,2322,3196,766,2430,510,101358
15,2021-04-16,2021,1015,25,West,Customer 00015,customer00015@example.com,5555,2345,3210,785,2425,509,101455
16,2022-05-17,2022,1016,26,North,Customer 00016,customer00016@example.com,5592,2368,3224,804,2420,508,101552
17,2023-06-18,2023,1017,27,South,Customer 00017,customer00017@example.com,5629,2391,3238,823,2415,507,101649
18,2024-07-19,2024,1018,28,East,Customer 00018,customer00018@example.com,5666,2414,3252,842,2410,506,101746
19,2025-08-20,2025,1019,29,West,Customer 00019,customer00019@example.com,5703,2437,3266,861,2405,505,101843
20,2021-09-21,2021,1020,30,North,Customer 00020,customer00020@example.com,5740,2460,3280,880,2400,504,101940
21,2022-10-22,2022,1021,31,South,Customer 00021,customer00021@example.com,5777,2483,3294,899,2395,502,102037
22,2023-11-23,2023,1022,32,East,Customer 00022,customer00022@example.com,5814,2506,3308,918,2390,501,102134
23,2024-12-24,2024,1023,33,West,Customer 00023,customer00023@example.com,5851,2529,3322,937,2385,500,102231
24,2025-01-25,2025,1024,34,North,Customer 00024,customer00024@example.com,5888,2552,3336,956,2380,499,102328
25,2021-02-26,2021,1025,35,South,Customer 00025,customer00025@example.com,5925,2575,3350,975,2375,498,102425
26,2022-03-27,2022,1026,36,East,Customer 00026,customer00026@example.com,5962,2598,3364,994,2370,497,102522
27,2023-04-28,2023,1027,37,West,Customer 00027,customer00027@example.com,5999,2621,3378,1013,2365,496,102619
28,2024-05-01,2024,1028,38,North,Customer 00028,customer00028@example.com,6036,2644,3392,1032,2360,495,102716
29,2025-06-02,2025,1029,39,South,Customer 00029,customer00029@example.com,6073,2667,3406,1051,2355,494,102813
30,2021-07-03,2021,1030,40,East,Customer 00030,customer00030@example.com,6110,2690,3420,1070,2350,493,102910
31,2022-08-04,2022,1031,41,West,Customer 00031,customer00031@example.com,6147,2713,3434,1089,2345,492,103007
32,2023-09-05,2023,1032,42,North,Customer 00032,customer00032@example.com,6184,2736,3448,1108,2340,491,103104
33,2024-10-06,2024,1033,43,South,Customer 00033,customer00033@example.com,6221,2759,3462,1127,2335,490,103201
34,2025-11-07,2025,1034,44,East,Customer 00034,customer00034@example.com,6258,2782,3476,1146,2330,489,103298
35,2021-12-08,2021,1035,10,West,Customer 00035,customer00035@example.com,6295,2805,3490,1165,2325,488,103395
36,2022-01-09,2022,1036,11,North,Customer 00036,customer00036@example.com,6332,2828,3504,1184,2320,487,103492
37,2023-02-10,2023,1037,12,South,Customer 00037,customer00037@example.com,6369,2851,3518,1203,2315,486,103589
38,2024-03-11,2024,1038,13,East,Customer 00038,customer00038@example.com,6406,2874,3532,1222,2310,485,103686
39,2025-04-12,2025,1039,14,West,Customer 00039,customer00039@example.com,6443,2897,3546,1241,2305,484,103783
40,2021-05-13,2021,1040,15,North,Customer 00040,customer00040@example.com,6480,2920,3560,1260,2300,483,103880
41,2022-06-14,2022,1041,16,South,Customer 00041,customer00041@example.com,6517,2943,3574,1279,2295,481,103977
42,2023-07-15,2023,1042,17,East,Customer 00042,customer00042@example.com,6554,2966,3588,1298,2290,480,104074
43,2024-08-16,2024,1043,18,West,Customer 00043,customer00043@example.com,6591,2989,3602,1317,2285,479,104171
44,2025-09-17,2025,1044,19,North,Customer 00044,customer00044@example.com,6628,3012,3616,1336,2280,478,104268
45,2021-10-18,2021,1045,20,South,Customer 00045,customer00045@example.com,6665,3035,3630,1355,2275,477,104365
46,2022-11-19,2022,1046,21,East,Customer 00046,customer00046@example.com,6702,3058,3644,1374,2270,476,104462
47,2023-12-20,2023,1047,22,West,Customer 00047,customer00047@example.com,6739,3081,3658,1393,2265,475,104559
48,2024-01-21,2024,1048,23,North,Customer 00048,customer00048@example.com,6776,3104,3672,1412,2260,474,104656
49,2025-02-22,2025,1049,24,South,Customer 00049,customer00049@example.com,6813,3127,3686,1431,2255,473,104753
50,2021-03-23,2021,1050,25,East,Customer 00050,customer00050@example.com,6850,3150,3700,1450,2250,472,104850
51,2022-04-24,2022,1051,26,West,Customer 00051,customer00051@example.com,6887,3173,3714,1469,2245,471,104947
52,2023-05-25,2023,1052,27,North,Customer 00052,customer00052@example.com,6924,3196,3728,1488,2240,470,105044
53,2024-06-26,2024,1053,28,South,Customer 00053,customer00053@example.com,6961,3219,3742,1507,2235,469,105141
54,2025-07-27,2025,1054,29,East,Customer 00054,customer00054@example.com,6998,3242,3756,1526,2230,468,105238
55,2021-08-28,2021,1055,30,West,Customer 00055,customer00055@example.com,7035,3265,3770,1545,2225,467,105335
56,2022-09-01,2022,1056,31,North,Customer 00056,customer00056@example.com,7072,3288,3784,1564,2220,466,105432
57,2023-10-02,2023,1057,32,South,Customer 00057,customer00057@example.com,7109,3311,3798,1583,2215,465,105529
58,2024-11-03,2024,1058,33,East,Customer 00058,customer00058@example.com,7146,3334,3812,1602,2210,464,105626
59,2025-12-04,2025,1059,34,West,Customer 00059,customer00059@example.com,7183,3357,3826,1621,2205,463,105723
60,2021-01-05,2021,1060,35,North,Customer 00060,customer00060@example.com,7220,3380,3840,1640,2200,462,105820
61,2022-02-06,2022,1061,36,South,Customer 00061,customer00061@example.com,7257,3403,3854,1659,2195,460,105917
62,2023-03-07,2023,1062,37,East,Customer 00062,customer00062@example.com,7294,3426,3868,1678,2190,459,106014
63,2024-04-08,2024,1063,38,West,Customer 00063,customer00063@example.com,7331,3449,3882,1697,2185,458,106111
64,2025-05-09,2025,1064,39,North,Customer 00064,customer00064@example.com,7368,3472,3896,1716,2180,457,106208
65,2021-06-10,2021,1065,40,South,Customer 00065,customer00065@example.com,7405,3495,3910,1735,2175,456,106305
66,2022-07-11,2022,1066,41,East,Customer 00066,customer00066@example.com,7442,3518,3924,1754,2170,455,106402
67,2023-08-12,2023,1067,42,West,Customer 00067,customer00067@example.com,7479,3541,3938,1773,2165,454,106499
68,2024-09-13,2024,1068,43,North,Customer 00068,customer00068@example.com,7516,3564,3952,1792,2160,453,106596
69,2025-10-14,2025,1069,44,South,Customer 00069,customer00069@example.com,7553,3587,3966,1811,2155,452,106693
70,2021-11-15,2021,1070,10,East,Customer 00070,customer00070@example.com,7590,3610,3980,1830,2150,451,106790
71,2022-12-16,2022,1071,11,West,Customer 00071,customer00071@example.com,7627,3633,3994,1849,2145,450,106887
72,2023-01-17,2023,1072,12,North,Customer 00072,customer00072@example.com,7664,3656,4008,1868,2140,449,106984
73,2024-02-18,2024,1073,13,South,Customer 00073,customer00073@example.com,7701,3679,4022,1887,2135,448,107081
74,2025-03-19,2025,1074,14,East,Customer 00074,customer00074@example.com,7738,3702,4036,1906,2130,447,107178
75,2021-04-20,2021,1075,15,West,Customer 00075,customer00075@example.com,7775,3725,4050,1925,2125,446,107275
76,2022-05-21,2022,1076,16,North,Customer 00076,customer00076@example.com,7812,3748,4064,1944,2120,445,107372
77,2023-06-22,2023,1077,17,South,Customer 00077,customer00077@example.com,7849,3771,4078,1963,2115,444,107469
