record_id,txn_date,fiscal_year,account,department,region,customer_name,customer_email,customer_phone,ssn,credit_card,address,invoice_id,revenue,cogs,gross_profit,operating_expense,net_income,tax_amount,cash_balance,ar_balance,ap_balance
1,2022-02-02,2022,1001,11,South,Customer 00001,customer00001@example.com,212-555-1001,101-11-1001,5555-5555-5555-4444,"1 Market St, Suite 101, New York, NY 10001",INV-000001,5037,2023,3014,519,2495,523,100097,20041,15029
2,2023-03-03,2023,1002,12,East,Customer 00002,customer00002@example.com,212-555-1002,102-12-1002,3782-822463-10005,"2 Market St, Suite 102, New York, NY 10001",INV-000002,5074,2046,3028,538,2490,522,100194,20082,15058
3,2024-04-04,2024,1003,13,West,Customer 00003,customer00003@example.com,212-555-1003,103-13-1003,6011-0009-9013-9424,"3 Market St, Suite 103, New York, NY 10001",INV-000003,5111,2069,3042,557,2485,521,100291,20123,15087
4,2025-05-05,2025,1004,14,North,Customer 00004,customer00004@example.com,212-555-1004,104-14-1004,4111-1111-1111-1111,"4 Market St, Suite 104, New York, NY 10001",INV-000004,5148,2092,3056,576,2480,520,100388,20164,15116
5,2021-06-06,2021,1005,15,South,Customer 00005,customer00005@example.com,212-555-1005,105-15-1005,5555-5555-5555-4444,"5 Market St, Suite 105, New York, NY 10001",INV-000005,5185,2115,3070,595,2475,519,100485,20205,15145
6,2022-07-07,2022,1006,16,East,Customer 00006,customer00006@example.com,212-555-1006,106-16-1006,3782-822463-10005,"6 Market St, Suite 106, New York, NY 10001",INV-000006,5222,2138,3084,614,2470,518,100582,20246,15174
7,2023-08-08,2023,1007,17,West,Customer 00007,customer00007@example.com,212-555-1007,107-17-1007,6011-0009-9013-9424,"7 Market St, Suite 107, New York, NY 10001",INV-000007,5259,2161,3098,633,2465,517,100679,20287,15203
8,2024-09-09,2024,1008,18,North,Customer 00008,customer00008@example.com,212-555-1008,108-18-1008,4111-1111-1111-1111,"8 Market St, Suite 108, New York, NY 10001",INV-000008,5296,2184,3112,652,2460,516,100776,20328,15232
9,2025-10-10,2025,1009,19,South,Customer 00009,customer00009@example.com,212-555-1009,109-19-1009,5555-5555-5555-4444,"9 Market St, Suite 109, New York, NY 10001",INV-000009,5333,2207,3126,671,2455,515,100873,20369,15261
10,2021-11-11,2021,1010,20,East,Customer 00010,customer00010@example.com,212-555-1010,110-20-1010,3782-822463-10005,"10 Market St, Suite 110, New York, NY 10001",INV-000010,5370,2230,3140,690,2450,514,100970,20410,15290
11,2022-12-12,2022,1011,21,West,Customer 00011,customer00011@example.com,212-555-1011,111-21-1011,6011-0009-9013-9424,"11 Market St, Suite 111, New York, NY 10001",INV-000011,5407,2253,3154,709,2445,513,101067,20451,15319
12,2023-01-13,2023,1012,22,North,Customer 00012,customer00012@example.com,212-555-1012,112-22-1012,4111-1111-1111-1111,"12 Market St, Suite 112, New York, NY 10001",INV-000012,5444,2276,3168,728,2440,512,101164,20492,15348
13,2024-02-14,2024,1013,23,South,Customer 00013,customer00013@example.com,212-555-1013,113-23-1013,5555-5555-5555-4444,"13 Market St, Suite 113, New York, NY 10001",INV-000013,5481,2299,3182,747,2435,511,101261,20533,15377
14,2025-03-15,2025,1014,24,East,Customer 00014,customer00014@example.com,212-555-1014,114-24-1014,3782-822463-10005,"14 Market St, Suite 114, New York, NY 10001",INV-000014,5518,2322,3196,766,2430,510,101358,20574,15406
15,2021-04-16,2021,1015,25,West,Customer 00015,customer00015@example.com,212-555-1015,115-25-1015,6011-0009-9013-9424,"15 Market St, Suite 115, New York, NY 10001",INV-000015,5555,2345,3210,785,2425,509,101455,20615,15435
16,2022-05-17,2022,1016,26,North,Customer 00016,customer00016@example.com,212-555-1016,116-26-1016,4111-1111-1111-1111,"16 Market St, Suite 116, New York, NY 10001",INV-000016,5592,2368,3224,804,2420,508,101552,20656,15464
17,2023-06-18,2023,1017,27,South,Customer 00017,customer00017@example.com,212-555-1017,117-27-1017,5555-5555-5555-4444,"17 Market St, Suite 117, New York, NY 10001",INV-000017,5629,2391,3238,823,2415,507,101649,20697,15493
18,2024-07-19,2024,1018,28,East,Customer 00018,customer00018@example.com,212-555-1018,118-28-1018,3782-822463-10005,"18 Market St, Suite 118, New York, NY 10001",INV-000018,5666,2414,3252,842,2410,506,101746,20738,15522
19,2025-08-20,2025,1019,29,West,Customer 00019,customer00019@example.com,212-555-1019,119-29-1019,6011-0009-9013-9424,"19 Market St, Suite 119, New York, NY 10001",INV-000019,5703,2437,3266,861,2405,505,101843,20779,15551
20,2021-09-21,2021,1020,30,North,Customer 00020,customer00020@example.com,212-555-1020,120-30-1020,4111-1111-1111-1111,"20 Market St, Suite 120, New York, NY 10001",INV-000020,5740,2460,3280,880,2400,504,101940,20820,15580
21,2022-10-22,2022,1021,31,South,Customer 00021,customer00021@example.com,212-555-1021,121-31-1021,5555-5555-5555-4444,"21 Market St, Suite 121, New York, NY 10001",INV-000021,5777,2483,3294,899,2395,502,102037,20861,15609
22,2023-11-23,2023,1022,32,East,Customer 00022,customer00022@example.com,212-555-1022,122-32-1022,3782-822463-10005,"22 Market St, Suite 122, New York, NY 10001",INV-000022,5814,2506,3308,918,2390,501,102134,20902,15638
23,2024-12-24,2024,1023,33,West,Customer 00023,customer00023@example.com,212-555-1023,123-33-1023,6011-0009-9013-9424,"23 Market St, Suite 123, New York, NY 10001",INV-000023,5851,2529,3322,937,2385,500,102231,20943,15667
24,2025-01-25,2025,1024,34,North,Customer 00024,customer00024@example.com,212-555-1024,124-34-1024,4111-1111-1111-1111,"24 Market St, Suite 124, New York, NY 10001",INV-000024,5888,2552,3336,956,2380,499,102328,20984,15696
25,2021-02-26,2021,1025,35,South,Customer 00025,customer00025@example.com,212-555-1025,125-35-1025,5555-5555-5555-4444,"25 Market St, Suite 125, New York, NY 10001",INV-000025,5925,2575,3350,975,2375,498,102425,21025,15725
26,2022-03-27,2022,1026,36,East,Customer 00026,customer00026@example.com,212-555-1026,126-36-1026,3782-822463-10005,"26 Market St, Suite 126, New York, NY 10001",INV-000026,5962,2598,3364,994,2370,497,102522,21066,15754
27,2023-04-28,2023,1027,37,West,Customer 00027,customer00027@example.com,212-555-1027,127-37-1027,6011-0009-9013-9424,"27 Market St, Suite 127, New York, NY 10001",INV-000027,5999,2621,3378,1013,2365,496,102619,21107,15783
28,2024-05-01,2024,1028,38,North,Customer 00028,customer00028@example.com,212-555-1028,128-38-1028,4111-1111-1111-1111,"28 Market St, Suite 128, New York, NY 10001",INV-000028,6036,2644,3392,1032,2360,495,102716,21148,15812
29,2025-06-02,2025,1029,39,South,Customer 00029,customer00029@example.com,212-555-1029,129-39-1029,5555-5555-5555-4444,"29 Market St, Suite 129, New York, NY 10001",INV-000029,6073,2667,3406,1051,2355,494,102813,21189,15841
